"year","OISST","SST","SSS","BT","BS","FaSST","FaBT","SpSST","SpBT","HW","GSI","CP","ChlA","PPD","HadSSB_GoM","MackSSB","CalAD","CalC5","CalC4","CalC3","Cal.AnAbun"," fall"," spring","Smcope.AnDens","Sm.cal.abun","Lg.cal.abun","ZooAbun"
1979,NA,11.3001939510851,NA,9.40437560812948,NA,14.859136878048,11.806071572765,6.02870241883961,5.87040175495875,NA,-0.22075071319062,-1.46272668817611,NA,NA,15505,352118,1246.86914885484,6693.22208935052,5214.0472895649,3655.75193489845,6505.28959677067,2.62380725108442,2.83322341678755,2.7494569505063,473115323.922087,385702412.830455,19.2067852720311
1980,NA,9.70731055082575,NA,8.67158376927673,NA,14.8113030222506,12.5368832904092,6.23327311621284,6.27086297475715,NA,0.0319049511304295,-1.18300926321209,NA,NA,14876,346861,1121.01959213249,8998.14557838606,7737.43269712611,4118.59357398046,8545.60536001636,2.62139636230643,2.84050265591453,2.73094950911048,559654067.963151,462610891.676062,19.3755983124844
1981,NA,10.5570842650429,NA,9.19653016897935,NA,15.3706730211407,12.9334659049782,6.76212846754214,6.25364631250378,NA,-0.57868131076502,-0.789395954144139,NA,NA,14750,300168,1285.73559531398,6765.56636507034,5436.9442111715,3352.02321580839,6096.94859666141,2.38502036729589,2.84211466531519,2.61356751630554,744578314.539051,521641607.988366,19.5998180117493
1982,10.8590987801745,12.7736167172026,NA,10.927504897642,NA,17.1431264683912,13.9634079872785,5.76558313673152,6.05747258695824,16.2581592354086,-0.494856573023563,-0.732433948874967,NA,NA,14390,305313,1571.88910710506,9187.41071560749,6870.37227809731,4215.27476452541,8465.40985165058,2.59659925521539,2.79247891083486,2.69453908302513,496195930.945685,902292672.936382,19.6777001109037
1983,11.4083020528385,11.6599088678936,NA,9.86938947887534,NA,17.2796845295284,13.5045513656709,6.32367096990353,6.40506170727659,119.680657391283,-0.290645341630642,0.0940897983680359,NA,NA,10929,360459,1284.17287923281,4916.20083604189,2097.80373271856,1809.14222503948,4120.02448149734,2.37624847416829,2.47825146224459,2.42724996820644,596285555.246923,399802971.305159,19.3380627666286
1984,11.230767256108,11.5210738542706,NA,10.0108421107985,NA,18.2995747527132,14.6033815143259,5.33001489470679,6.01032474892977,43.4184731794201,0.447445647575369,-1.3402023964213,NA,NA,7308,393831,2620.13591489856,5771.92046497626,3883.6413436607,2342.2368078884,4953.44228050331,2.30297972097531,2.37945562127845,2.34121767112688,444380523.782834,297714886.883692,19.0485365290816
1985,11.1820279619582,12.0708686064704,NA,10.744650893274,NA,17.4241307377062,14.1704859779503,5.74494752865138,6.68600821169054,46.6627147414365,0.675206926210973,0.433856526842271,NA,NA,5358,583088,1210.64968089746,6018.83318205586,3897.55892532661,2918.76162674007,5213.84472145773,2.29591449242227,2.32619687617035,2.31105568429631,367460299.217335,383634237.361807,19.0677892243305
1986,10.9604088123229,11.9700296927331,NA,10.60978510468,NA,16.6433426193072,12.8142868577195,6.63450015342793,7.25690728550618,17.2516226925428,0.202894300496553,1.38651165269784,NA,NA,2988,525549,1313.75493032433,6282.87561591248,4131.63175347193,2811.52449094096,5345.54525837234,2.45197096430198,1.92354328629291,2.18775712529745,315346073.321443,689208049.607849,19.3515080845557
1987,10.3789825444406,10.6630564945934,NA,8.83752065903088,NA,16.7578820089134,11.9663160871703,6.35961041294776,7.00172703117365,NA,-0.670503603893026,-0.639225918246289,NA,NA,1522,411664,1681.182481064,8553.93991734017,9342.10219671005,6869.03010078816,10041.9191675194,2.33280398543537,2.79115888027128,2.56198143285333,676131835.452491,2282125743.9754,20.4277595497924
1988,10.4808033806759,10.4761484641272,NA,8.76115477418715,NA,16.2789217415516,11.491795233212,5.160770634952,6.70419809222758,12.3242,-0.625483129119118,-0.684770652395597,NA,NA,1096,338213,1400.60265264726,8913.61482893592,4988.910986884,2644.06269417315,7864.7570432396,2.50368780853993,2.49238288730805,2.49803534792399,717279262.384334,453654172.425461,19.5013629812044
1989,10.8629091067078,13.0000613958183,NA,10.7179551608456,NA,17.3891579108076,13.0269234131508,6.24634937668806,7.16503565129998,9.34384598762096,-0.850073365442742,-0.226831460785974,NA,NA,799,326577,1198.87751599906,2811.24217480176,400.345972103886,341.938378914099,2759.88083592027,NA,NA,NA,1535079283.61253,316893097.100532,19.9660221112685
1990,11.1653760335927,11.7795430893716,NA,10.1217148793769,NA,18.4760343794656,13.9633408710685,6.85887941065218,7.38004390217493,66.3835361818441,0.101839421488378,0.841894831786327,NA,NA,835,258213,613.965886749627,1238.83561779781,895.958669240308,774.446411696302,1157.89677893348,NA,NA,NA,1751758253.90764,255064620.840554,20.044732629362
1991,11.1609607430991,11.8489343531546,NA,10.1401509845505,NA,18.3466243819939,14.0080797776652,6.50301065833226,6.95608419656894,41.531423487539,0.859442628140859,0.476630794648189,NA,NA,723,245469,494.795890005218,3970.90420830272,1378.28996244572,271.948073241241,3043.15191395373,2.65350969267755,NA,2.65350969267755,1280248800.44592,314444112.237205,19.8255007588473
1992,10.2085619531324,11.0019547792997,32.1111939155561,9.83185183090774,32.7338060120495,16.5941612523744,13.113054869214,5.25492880094913,6.35280538061885,NA,0.281783735646069,0.0847283289881986,NA,NA,679,177878,729.945897307502,5404.43796565766,3959.55457916771,2090.86511182901,4400.14878803579,NA,3.00136160589426,3.00136160589426,1289243944.61207,819153113.65358,20.1125057845549
1993,10.5959114717402,10.6971505355904,31.8247546072259,8.54060173728154,32.7096525195289,17.1503598361321,11.8704884551368,4.95669872950698,5.52177850273421,35.2508,0.561292689898386,-0.455114050838038,NA,NA,731,158500,910.616154848294,3938.81504276175,5555.76735698557,6452.32490797398,5936.18949439133,3.19810615910179,3.10764944460144,3.15287780185162,891533467.722687,776800397.355567,19.8824159894576
1994,11.0191573633348,12.0136880666993,32.2171174481858,10.938087501807,32.9657004039642,17.0034652015346,14.4071601310286,5.15059905331449,6.29111620509592,42.5038381609926,0.844028301952192,-0.0060798619972308,NA,NA,1222,122523,1432.78408234723,7866.55894760492,3488.89762698268,3153.07859108816,7114.62009789838,2.40460849472588,NA,2.40460849472588,952091476.681047,1319139929.99481,20.1790311259635
1995,11.0233146452035,12.6588673537122,32.5033373153313,11.5351247270749,32.9385749042408,19.0007487560321,15.7327406921968,6.85052984221562,6.95622494461306,56.2361839303337,1.09141060016577,0.527291185895946,NA,NA,2201,113974,1402.59258644761,6342.42309419074,3956.54084271685,2943.05282693124,5316.49276236319,2.04444213207312,3.05016829524937,2.54730521366125,696581735.499927,855148000.948259,19.8034891503793
1996,10.1057479826449,11.7008742070167,31.5569442141379,10.2550299469436,32.4326387136957,17.2593272504403,13.9844434062754,5.36130980501031,5.98323014193903,14.2512,-0.447046962097999,-1.13341616822352,NA,NA,3569,104193,1039.73958116008,6224.60116465626,5689.89708785279,5061.09301537969,6830.81896641663,2.87216066555813,3.25795192588889,3.06505629572351,5925366325.60229,622153585.558573,21.2356986676849
1997,10.6702988136156,11.8148401542795,31.8146419515949,10.6162733247281,32.5751274849052,17.567538389173,13.9857851010838,5.98747154830786,7.22164347206038,NA,-0.380998800089314,0.111095658469298,NA,NA,5389,100988,935.181533517251,5444.93922980569,3858.59120718413,2405.96259369578,4720.64195776052,2.52044918416004,3.23012445657452,2.87528682036728,1013486689.63798,460556513.005955,19.7566581625358
1998,10.697314130164,11.4792572195558,31.4131635225823,9.7871056429816,32.1790181056509,16.633647933641,13.0419257175231,5.69294285773246,6.10385867851803,NA,-0.253777622455349,-0.560613519453892,0.749841982143686,0.551073992322862,6708,97210,971.136516334067,4802.31663102984,5506.53081792033,2879.47748883823,5020.95383571159,3.10075015454454,3.48789474695481,3.29432245074968,1417995498.69533,643496861.607354,20.1286122273326
1999,11.6672684488487,12.1726943680285,32.0734288907898,11.0567283282453,32.8518547156471,16.808537826389,14.425094916835,6.18130699331729,6.76298141684028,112.524499996802,1.122426496506,1.83844426450241,0.800982128420313,0.61246201905164,6924,82218,772.774711299743,4978.84417075498,2789.49157693298,2717.09237174934,4308.13641288806,1.74355511401628,3.24156933976151,2.4925622268889,827763490.868924,679507083.611544,19.7863512877989
2000,11.4146043780836,12.9885519054154,32.3298866585406,10.9444337025182,33.0162655752005,18.07570667065,14.2403166304226,7.06196987413445,7.13073949797127,59.4347906135567,0.813799060333128,1.21745152790169,0.839022717148749,0.616117635962955,8440,181497,1145.18690539955,6150.69703097844,6118.01598887083,6254.77349337723,6629.71316503029,2.38348654413078,3.2240851434627,2.80378584379674,1254693038.56306,748258478.438698,20.127797927611
2001,11.2091537525944,12.9966991752511,32.1272268670907,10.6350806740667,32.880257636229,18.6252611254646,13.8473748365516,6.01577193828275,6.65097389681165,47.6575540816663,0.304229918368533,0.878818679742152,0.816629403874618,0.614814572588361,13802,268593,1662.85612484675,10490.031437202,5535.57112268634,3966.06994841253,8945.54982566065,2.10663814558698,3.44939427386258,2.77801620972478,1081699377.92239,954754719.394627,20.0633438966962
2002,11.7603972554075,13.7252265246624,32.6526352384468,11.5981984357278,33.2005695206795,19.1884269763316,14.9337724249332,7.53956130747911,7.84498585447223,151.692880058536,1.3114632326931,0.804433995954097,0.84784399667552,0.670625849247825,16666,255991,1853.76393105017,8326.21038619328,6028.0331314176,3425.58287491017,7595.91003005314,1.64678709539023,2.16925378904223,1.90802044221623,877201691.800725,590068146.438483,19.7388444482568
2003,10.7255758379359,13.1153002184553,32.0992569688631,10.8173971668427,32.8307595438,18.3206022534141,14.4176629958443,5.5197218867601,5.57064810418962,12.6046324707088,0.185326981984479,-0.106338929612507,0.818890252836484,0.59860738831799,14438,226488,2911.07442156355,9333.65495155649,4626.71190310047,3796.67750254611,8394.43418205788,2.10204503064031,2.36377404536933,2.23290953800482,850491792.055246,1178759432.2769,20.0564003323129
2004,10.3603195558018,12.5051972211697,32.0075211614707,10.6488467616494,32.6141222857276,18.3761105239663,14.8561100884391,4.93243966499939,5.2645185235063,25.8242,-0.166858636894737,-2.14327506259531,0.794057790120303,0.582774940370259,12496,172130,4061.33274241052,10395.6589359694,7732.81914857225,7296.34981460528,9846.65094043127,1.61703309077742,2.588424537777,2.10272881427721,726273050.706571,1190127136.18002,20.0045897068221
2005,10.8695655794233,13.8222305483004,31.6430951854399,11.0398123609137,32.5991199579617,19.0733311191847,13.8833455734252,5.01384466599983,6.22579900699915,72.9641121485497,-0.145682067966465,-0.0797552719974603,0.793367392534838,0.57612718044127,10905,149476,2818.17222342584,8051.76599856563,6242.38734273764,4545.48447690336,7107.33579162192,1.49281998364156,2.50092473487186,1.99687235925671,287241319.636116,541950130.371471,19.1729707142298
2006,11.4944511702578,13.6564036121473,31.8991496431847,12.0755144529966,32.7180832256089,18.3419226351204,15.1018954478744,6.30956300598743,7.36375681153086,108.875224995426,-0.0588807418437636,1.71953201530249,0.871969331198705,0.674006886287815,10550,129322,1728.14592771085,6485.70278914275,3004.34484159226,3383.79204404938,6016.68682374576,2.09428681983736,1.97807657822464,2.036181699031,893484680.508949,433218608.416029,19.6579375672443
