"year","recruits","R.no.devs","logR.dev","SR.std.resid","SSB","SPR","Rs","OISST","OISST.GB","OISST.GOM","OISST.MAB","OISST.SS","BT","SST","Surv.SST","Surv.SSS","Surv.BT","Surv.BS","BT.GB","BT.GOM","BT.MAB","BT.SS","SST.GB","SST.GOM","SST.MAB","SST.SS","HW","HW.GB","HW.GOM","HW.MAB","GSI","CP","PP","PP.GOM","PP.GB","PP.MAB","Abund","Num.GB","Num.GOM","Num.MAB","ZooDens","CAD","CC5","Cope","cal.GB","cal.GOM","cal.SS"
1982,1921318,3010080,-0.4489552,-0.5392502,67830.45,0.2729209,3.1647932633689,10.8590987801745,10.995993323682,9.83123836326273,13.7747493187556,8.83441411499741,7.73540416666667,9.99827916666667,12.7736167172026,NA,10.927504897642,NA,9.07940415964025,6.71823882588392,12.7976530242666,7.06756295347845,9.48911111111111,8.76028124170868,15.0840854762767,7.12403198653199,16.64685,20.9661,12.3276,NA,-0.494856573023563,-0.732433948874967,NA,NA,NA,NA,407328983.842637,142169061.325562,950553927.027101,129263963.175247,2.67484703812504,597.590354255168,5923.35558443038,3260.47296934277,393.989130380441,6235.97273640235,3151.45704124553
1983,1359330,3001299,-0.7920529,-0.9513524,70108.2,0.2929284,2.99773600111222,11.4083020528385,11.4899290155625,10.3657577603919,14.5665057080961,9.2110157273037,8.14640416666667,10.8888666666667,11.6599088678936,NA,9.86938947887534,NA,9.2308019790588,6.7499589911831,10.9951868564156,7.72569349704411,10.2511672710789,8.81557578236858,12.910614267604,8.33433378808549,120.3176,127.3955,113.2397,NA,-0.290645341630642,0.0940897983680359,NA,NA,NA,NA,291398353.930272,118622176.730432,664889746.596123,90683138.464262,2.37072144445067,635.03224092705,2046.55816828982,1340.79520460843,306.490134469416,3107.22268870223,608.672790653655
1984,4504452,3003036,0.4054424,0.486986,69304.87,0.2730506,4.16278175707572,11.230767256108,11.4032684071557,10.2225020540746,14.1751427726155,9.12215579058626,8.10055416666667,10.7222833333333,11.5210738542706,NA,10.0108421107985,NA,8.74270470383275,6.21592284950021,11.2811888313184,8.16411483253589,9.28457593688363,7.34330587742566,13.1369143432021,8.34411647387316,44.5401,35.1723,60.2275,38.2205,0.447445647575369,-1.3402023964213,NA,NA,NA,NA,208626726.341551,146327374.3938,369812906.991369,109739897.639485,2.22640437530208,908.258914149349,2544.59693526703,1726.42792470819,460.742122460111,3616.52227201589,1102.01937964856
1985,3675050,3002436,0.2021429,0.2427984,94363.56,0.259725,3.97080683909954,11.1820279619582,11.3531946038213,9.84372831823619,15.0223498644332,8.50883906134221,8.943755,10.8668475,12.0708686064704,NA,10.744650893274,NA,9.90266844563042,7.49412949640288,12.0484958261143,8.06215738284704,10.4690315560392,9.10491452991453,13.6162028150992,6.92917771883289,37.8099,NA,9.4853,66.1345,0.675206926210973,0.433856526842271,NA,NA,NA,NA,214864336.959782,152780866.394028,386482819.704827,105329324.780492,2.2075652985933,432.225472900779,2071.61805696195,1251.92176493137,497.122424409111,2728.50061244419,530.1422579408
1986,3223908,3016398,0.06653083,0.07991167,110767.4,0.2340829,3.53119458556063,10.9604088123229,11.0476511371779,9.6334938473462,14.6212184418784,8.53927182288919,8.4250625,10.30979375,11.9700296927331,NA,10.60978510468,NA,10.8873185819653,7.84811969268095,11.594593196223,8.77278341420379,10.4514018691589,9.37129477874034,13.3594535037461,8.63399433427762,16.82895,15.7494,NA,17.9085,0.202894300496553,1.38651165269784,NA,NA,NA,NA,297252778.228828,112916271.214154,694560807.381965,84281256.0903657,2.19935346356132,594.525744736073,3287.41164816658,1940.96869645133,227.830146472227,4198.02354795681,NA
1987,4289285,3022155,0.35015,0.420573,149292.5,0.2177183,3.65644282417082,10.3789825444406,10.5119681760556,9.27580390161575,13.9799061039814,7.74825199610958,7.41745625,9.95765625,10.6630564945934,NA,8.83752065903088,NA,9.17774370208105,6.24653407429073,9.40843803892584,6.62551566080978,10.4626067907996,8.19441357121966,11.5209472027472,6.807410236822,NA,NA,NA,NA,-0.670503603893026,-0.639225918246289,NA,NA,NA,NA,910057027.463699,137324825.618105,2506240885.53688,86605371.2361135,2.48163094732765,639.323863998423,3397.96799808002,2018.64593103922,751.703914378437,3844.00091335137,1460.23296538785
1988,6276145,3030740,0.7279491,0.874356,148077.1,0.209222,3.73860374861783,10.4808033806759,10.6967252327938,9.36534431198416,13.7657004925713,8.09544348535439,8.52445,9.6892,10.4761484641272,NA,8.76115477418715,NA,8.01762199845081,6.65976112920738,9.71336048344719,7.2554933519944,9.40560314887706,8.28868621064061,11.7245721089448,7.03729809104258,12.3242,12.3242,NA,NA,-0.625483129119118,-0.684770652395597,NA,NA,NA,NA,304090439.417977,102713442.245274,580830584.52025,228727291.488405,2.3820403681669,509.918712471096,1898.6977552,1204.30823383555,804.091027385134,NA,NA
1989,7311144,3030537,0.88066,1.05778,166476.2,0.2227996,3.89942195438249,10.8629091067078,10.8565854422234,9.65930115381877,14.4489633277345,8.48678650305462,8.32313333333333,9.58763333333333,13.0000613958183,NA,10.7179551608456,NA,9.12796088944961,6.5688345323741,13.1723287671233,8.06301806588735,10.0373442674657,9.46958273381295,16.0090802348337,9.64218916046759,9.34955,NA,9.3678,9.3313,-0.850073365442742,-0.226831460785974,NA,NA,NA,NA,422686945.071177,156678204.676412,546475537.21246,564907093.324659,NA,625.718758104888,572.4678719841,599.093315044494,123.402000839941,693.66480339103,NA
1990,7794697,3033298,0.9437933,1.133611,165999.1,0.1998174,3.84634655340494,11.1653760335927,11.4080794199239,9.8246913326712,14.5631350328205,8.86559834895535,8.99702857142857,10.1869285714286,11.7795430893716,NA,10.1217148793769,NA,6.83614400757935,6.61772811918063,11.4131574911823,8.05875,6.01581081081081,9.52538991657599,13.2191381689925,9.37447916666667,76.6015333333333,132.235,52.9397,44.6299,0.101839421488378,0.841894831786327,NA,NA,NA,NA,437487828.049112,68647410.2750538,585594313.766141,658221760.106142,NA,187.173818413541,489.78967360067,338.481746007105,344.311042099721,209.793401851403,NA
1991,6605043,3033234,0.7782042,0.9347185,210822.4,0.1885841,3.68360636049967,11.1609607430991,11.2742709274095,9.90716918562101,14.715151171055,8.74725168831094,8.40985357142857,10.707078125,11.8489343531546,NA,10.1401509845505,NA,9.0657730605099,6.92888801339506,11.3277854618104,8.02583446404342,10.3080424554109,9.25609179552842,13.0469124423963,7.82659430122117,35.0945333333333,21.8238,24.2702,59.1896,0.859442628140859,0.476630794648189,NA,NA,NA,NA,383765419.772133,131399984.213959,584312666.77245,435583608.329991,NA,271.044433353956,3862.75500066542,2066.89971700969,326.72951828513,3845.29142655706,NA
