"year","OISST.GB","OISST.GOM","OISST.MAB","OISST.SS","BT.GB","BT.GOM","BT.MAB","BT.SS","SST.GB","SST.GOM","SST.MAB","SST.SS","HW.GB","HW.GOM","HW.MAB","PP.GOM","PP.GB","PP.MAB","smCopeDen.GB","smCopeDen.GOM","smCopeDen.MAB","ZooAbun.GB","ZooAbun.GOM","ZooAbun.MAB","ZooAbun.SS"
1963,NA,NA,NA,NA,8.4028941355674,7.34682434667549,11.2577192982456,6.92012257405516,8.78271134805788,8.97833278200463,10.1477826086957,8.3632277834525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,8.93996696944674,5.84657004830918,10.8937634408602,6.56751662971175,10.7255161023947,8.69008051529791,13.2922222222222,7.38082039911308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,10.96640806827,5.46687951138257,10.3897471423623,7.0265873015873,12.4165812403895,10.9118621426663,13.3627641149983,9.51861341371515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,9.56850220264317,5.1727387330602,9.78867403314917,6.7516152189519,11.67682329907,11.3749703440095,12.3255248618785,9.31018455228982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,8.33027222040013,6.10952914798206,10.7695213565143,6.58937823834197,9.16594889463106,8.58045112781955,15.1857551776393,8.80529300567108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,9.5834575008466,5.70109266652658,9.24924421781096,7.28809349890431,9.6726275631855,6.40566149007273,11.7895341802783,7.6163087637841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,8.04727632882139,6.36445001138693,9.70881812022069,7.03898007033998,8.81804553026097,6.86149210307564,11.0397328729784,7.1797158255757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,8.64827930174564,7.03805983359887,9.06943808532778,6.81332371332371,9.47457681251996,7.77930607187113,12.5545635117688,6.28973024136299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,8.71114503816794,7.62904078549849,9.64741854168612,7.30761041009464,9.32796596301751,8.532631386193,12.5139643613267,7.40402973395931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,8.90045071073616,7.189185353392,11.4828744558183,7.31106471816284,9.40565605678956,7.593848042559,12.8162526339137,6.99578288100209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,9.50127456186936,6.87708598726115,11.8714905593996,8.29729064039409,9.99271385510862,8.21000884433962,12.7716526285216,6.88600278551532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,9.29977886405959,7.79030196164867,11.731435793731,9.831504781077,9.70347190497944,7.67394331178518,12.7238301106941,8.03096545043591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,9.01621929602431,7.1039300169735,11.7461201397748,8.43647722692463,10.1545533932136,9.14020082264699,11.9342553411085,7.68023299511462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,9.65974455468126,7.29761532854316,11.0049594924772,8.61535433070866,9.44424679126323,7.47481230073023,11.6541553017388,8.13653631284916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,10.0590015600624,6.69348139833226,10.7348649318463,7.44042227662179,10.6841225065485,8.2862023855329,12.0185229244114,7.88424112607099,NA,NA,NA,NA,NA,NA,2.14359345340495,1.85261231334565,2.98000542925448,19.1832876798601,20.2590183578041,19.1194493228069,NA
1978,NA,NA,NA,NA,9.65943901901755,6.37840680386938,9.17097933921908,7.63055121624637,11.2153429866901,9.68421894218942,10.7137104810218,9.05318492395856,NA,NA,NA,NA,NA,NA,2.31570030260953,1.66911165271773,2.94000776072395,19.0142796826984,19.4322361684919,19.0569589288516,NA
1979,NA,NA,NA,NA,10.3081511670989,6.47252313386798,10.3260140590862,8.38300755798801,10.7822616136919,8.93860365961983,12.5637227105189,8.97400958869543,NA,NA,NA,NA,NA,NA,2.7815973531717,2.41176592622818,2.91226962034141,18.8796596709583,19.7528152652118,18.9077788901051,NA
1980,NA,NA,NA,NA,9.85649717514124,6.2621114599686,9.09741142273548,7.81668040670514,10.582498501584,7.80891007356253,10.0878654309825,8.22336375488918,NA,NA,NA,NA,NA,NA,2.30274771054099,2.4193741188003,3.08137798942936,18.8532398952057,19.8690247107245,19.2057639498437,NA
1981,NA,NA,NA,NA,8.84368745496758,6.1469795388113,10.1939166417815,7.18472258743098,9.17470475582509,9.25499524262607,11.3351545253863,8.12666316066263,NA,NA,NA,NA,NA,NA,2.6037812535726,2.34504440792523,2.75848656144165,18.6388333886442,20.6085800925523,18.5712610576651,NA
1982,10.995993323682,9.83123836326273,13.7747493187556,8.83441411499741,9.07940415964025,6.71823882588392,12.7976530242666,7.06756295347845,9.48911111111111,8.76028124170868,15.0840854762767,7.12403198653199,20.9661,12.3276,NA,NA,NA,NA,2.78173390549595,2.46746516696415,2.77534204191501,18.7725274801111,20.6725554537143,18.6773670978214,NA
