"year","HadSSB_GoM","MackSSB","HadSSB_GoM_1","MackSSB_1","ChlA","PPD","Jelly.Abun","Sm.cal.abun","Sm.cal.abun_1","ZooAbun","ZooAbun_1","Cfin.C5","cfinC5_1","BT","BT_1","OISST","SST_1","HW","GSI","WSW"
1978,13726,379297,9716,359134,NA,NA,15.0878000235366,20.0231250054077,20.4426440933712,20.5496932325128,20.964660827651,8.79176341331442,10.3499407091366,8.57580166855246,8.38402904472917,NA,NA,NA,-0.439780908512913,NA
1979,15505,352118,13726,379297,NA,NA,16.3145252015983,19.9748497305272,20.0231250054077,20.593079633151,20.5496932325128,8.55844716205759,8.79176341331442,8.08099597855223,8.57580166855246,NA,NA,NA,-0.22075071319062,60.934
1980,14876,346861,15505,352118,NA,NA,15.9593107074797,20.142829415036,19.9748497305272,20.7618926736043,20.593079633151,8.66354027427316,8.55844716205759,8.03733733951527,8.08099597855223,NA,NA,NA,0.0319049511304295,56.7604
1981,14750,300168,14876,346861,NA,NA,17.0976398117456,20.4283285953407,20.142829415036,20.9861123728692,20.7618926736043,7.74033853268084,8.66354027427316,7.93757269825613,8.03733733951527,NA,NA,NA,-0.57868131076502,43.2569
1982,14390,305313,14750,300168,NA,NA,14.9760434750777,20.0224814287564,20.4283285953407,21.0639944720236,20.9861123728692,9.85519056632233,7.74033853268084,8.32549835435918,7.93757269825613,10.8590987801745,NA,16.2581592354086,-0.494856573023563,37.6094
1983,10929,360459,14390,305313,NA,NA,13.8461550819364,20.2062302298303,20.0224814287564,20.7243571277485,21.0639944720236,9.06594880550848,9.85519056632233,8.86218229611894,8.32549835435918,11.4083020528385,10.8590987801745,119.680657391283,-0.290645341630642,60.4479
1984,7308,393831,10929,360459,NA,NA,13.9341103849317,19.9121917888982,20.2062302298303,20.4348308902015,20.7243571277485,8.7573044548839,9.06594880550848,8.41391371032201,8.86218229611894,11.230767256108,11.4083020528385,43.4184731794201,0.447445647575369,64.2917
1985,5358,583088,7308,393831,NA,NA,14.3116003192741,19.722125841441,19.9121917888982,20.4540835854504,20.4348308902015,9.12894075387035,8.7573044548839,9.31206648687638,8.41391371032201,11.1820279619582,11.230767256108,46.6627147414365,0.675206926210973,87.6007
1986,2988,525549,5358,583088,NA,NA,15.0224543100412,19.5691812391855,19.722125841441,20.7378024456756,20.4540835854504,9.07408735804465,9.12894075387035,9.54745783045727,9.31206648687638,10.9604088123229,11.1820279619582,17.2516226925428,0.202894300496553,87.7778
1987,1522,411664,2988,525549,NA,NA,15.154502593378,20.3318986378515,19.5691812391855,21.8140539109123,20.7378024456756,9.28244211477303,9.07408735804465,8.66443629623165,9.54745783045727,10.3789825444406,10.9604088123229,NA,-0.670503603893026,52.4531
1988,1096,338213,1522,411664,NA,NA,14.2842050951652,20.3909758100198,20.3318986378515,20.8876573423243,21.8140539109123,8.2890490004693,9.28244211477303,8.62498157456277,8.66443629623165,10.4808033806759,10.3789825444406,12.3242,-0.625483129119118,NA
1989,799,326577,1096,338213,NA,NA,16.6217956139013,21.1518478672136,20.3909758100198,21.3523164723884,20.8876573423243,7.09764619061462,8.2890490004693,8.6750364890005,8.62498157456277,10.8629091067078,10.4808033806759,9.34384598762096,-0.850073365442742,NA
1990,835,258213,799,326577,NA,NA,16.4005714742451,21.2838858370107,21.1518478672136,21.4310269904819,21.3523164723884,6.12218235852859,7.09764619061462,9.15626532132134,8.6750364890005,11.1653760335927,10.8629091067078,66.3835361818441,0.101839421488378,NA
1991,723,245469,835,258213,NA,NA,17.2470749379842,20.9703202713379,21.2838858370107,21.2117951199672,21.4310269904819,7.86847042768456,6.12218235852859,9.49727662590288,9.15626532132134,11.1609607430991,11.1653760335927,41.531423487539,0.859442628140859,76.5208
1992,679,177878,723,245469,NA,NA,17.5532864353653,20.9773217940544,20.9703202713379,21.4988001456748,21.2117951199672,7.70089886551334,7.86847042768456,8.61177398620412,9.49727662590288,10.2085619531324,11.1609607430991,NA,0.281783735646069,68.8073
1993,731,158500,679,177878,NA,NA,17.2393874466561,20.6084535354744,20.9773217940544,21.2687103505775,21.4988001456748,7.28968756413383,7.70089886551334,8.46028839275946,8.61177398620412,10.5959114717402,10.2085619531324,35.2508,0.561292689898386,60.8021
1994,1222,122523,731,158500,NA,NA,17.2089837068049,20.6741716770901,20.6084535354744,21.5653254870834,21.2687103505775,8.80711596836864,7.28968756413383,9.21444592687733,8.46028839275946,11.0191573633348,10.5959114717402,42.5038381609926,0.844028301952192,96.3333
1995,2201,113974,1222,122523,NA,NA,17.2351398690834,20.3616956960576,20.6741716770901,21.1897835114992,21.5653254870834,8.64070517470767,8.80711596836864,9.47422753505341,9.21444592687733,11.0233146452035,11.0191573633348,56.2361839303337,1.09141060016577,78.9479
1996,3569,104193,2201,113974,NA,NA,18.5537192749418,22.5025083491623,20.3616956960576,22.6219930288047,21.1897835114992,8.86957338978159,8.64070517470767,8.21371886938576,9.47422753505341,10.1057479826449,11.0233146452035,14.2512,-0.447046962097999,82.276
1997,5389,100988,3569,104193,NA,NA,17.2281859620348,20.7366623907045,22.5025083491623,21.1429525236556,22.6219930288047,8.63895835330365,8.86957338978159,9.19581400703658,8.21371886938576,10.6702988136156,10.1057479826449,NA,-0.380998800089314,74.5573
1998,6708,97210,5389,100988,0.749841982143686,0.551073992322862,18.707972979387,21.0725100906475,20.7366623907045,21.5149065884525,21.1429525236556,7.36014586008643,8.63895835330365,8.32842503945286,9.19581400703658,10.697314130164,10.6702988136156,NA,-0.253777622455349,34.1354
1999,6924,82218,6708,97210,0.800982128420313,0.61246201905164,17.735505522903,20.5342380324997,21.0725100906475,21.1726456489187,21.5149065884525,9.54404372210106,7.36014586008643,9.78190270557371,8.32842503945286,11.6672684488487,10.697314130164,112.524499996802,1.122426496506,86.5469
