"days","year"
126,1983
108,1984
118,1985
104,1986
99,1987
106,1988
110,1989
129,1990
119,1991
101,1992
109,1993
111,1994
126,1995
101,1996
115,1997
106,1998
137,1999
112,2000
136,2001
127,2002
114,2003
111,2004
128,2005
125,2006
114,2007
123,2008
123,2009
123,2010
133,2011
148,2012
129,2013
142,2014
141,2015
135,2016
141,2017
127,2018
132,2019
137,2020
151,2021
162,2022
120,2023
