"days","year"
37,1983
53,1984
29,1985
33,1986
40,1987
50,1988
56,1989
65,1990
48,1991
24,1992
52,1993
63,1994
63,1995
22,1996
60,1997
60,1998
68,1999
72,2000
63,2001
68,2002
76,2003
54,2004
68,2005
73,2006
71,2007
73,2008
61,2009
101,2010
91,2011
100,2012
81,2013
86,2014
86,2015
100,2016
93,2017
97,2018
89,2019
102,2020
115,2021
87,2022
81,2023
