"days","year"
39,1983
27,1984
21,1985
12,1986
22,1987
8,1988
23,1989
33,1990
23,1991
24,1992
27,1993
16,1994
33,1995
10,1996
22,1997
28,1998
41,1999
25,2000
30,2001
34,2002
35,2003
18,2004
41,2005
36,2006
38,2007
30,2008
26,2009
36,2010
39,2011
48,2012
38,2013
50,2014
32,2015
47,2016
54,2017
43,2018
37,2019
38,2020
56,2021
38,2022
27,2023
